Jurisdiction,Year,Measure,Unit,Quantity
AUS,2004-05,Energy consumption,PJ,5399.2
AUS,2004-05,Energy consumption per capita,GJ/person,267.594
AUS,2004-05,Energy intensity,GJ/$ million,3577.349
AUS,2004-05,Energy productivity,$ million/PJ,279.537
AUS,2004-05,GDP,$ million,1509274
AUS,2004-05,Population,Number,20176844
AUS,2005-06,Energy consumption,PJ,5546.742
AUS,2005-06,Energy consumption per capita,GJ/person,271.221
AUS,2005-06,Energy intensity,GJ/$ million,3576.561
AUS,2005-06,Energy productivity,$ million/PJ,279.598
AUS,2005-06,GDP,$ million,1550859
AUS,2005-06,Population,Number,20450966
AUS,2006-07,Energy consumption,PJ,5723.991
AUS,2006-07,Energy consumption per capita,GJ/person,274.827
AUS,2006-07,Energy intensity,GJ/$ million,3556.645
AUS,2006-07,Energy productivity,$ million/PJ,281.164
AUS,2006-07,GDP,$ million,1609379
AUS,2006-07,Population,Number,20827622
AUS,2007-08,Energy consumption,PJ,5738.33
AUS,2007-08,Energy consumption per capita,GJ/person,270.049
AUS,2007-08,Energy intensity,GJ/$ million,3442.113
AUS,2007-08,Energy productivity,$ million/PJ,290.519
AUS,2007-08,GDP,$ million,1667095
AUS,2007-08,Population,Number,21249199
AUS,2008-09,Energy consumption,PJ,5844.233
AUS,2008-09,Energy consumption per capita,GJ/person,269.423
AUS,2008-09,Energy intensity,GJ/$ million,3440.524
AUS,2008-09,Energy productivity,$ million/PJ,290.653
AUS,2008-09,GDP,$ million,1698646
AUS,2008-09,Population,Number,21691653
AUS,2009-10,Energy consumption,PJ,5823.803
AUS,2009-10,Energy consumption per capita,GJ/person,264.337
AUS,2009-10,Energy intensity,GJ/$ million,3353.823
AUS,2009-10,Energy productivity,$ million/PJ,298.167
AUS,2009-10,GDP,$ million,1736467
AUS,2009-10,Population,Number,22031750
AUS,2010-11,Energy consumption,PJ,5902.889
AUS,2010-11,Energy consumption per capita,GJ/person,264.229
AUS,2010-11,Energy intensity,GJ/$ million,3319.404
AUS,2010-11,Energy productivity,$ million/PJ,301.259
AUS,2010-11,GDP,$ million,1778298
AUS,2010-11,Population,Number,22340024
AUS,2011-12,Energy consumption,PJ,5888.427
AUS,2011-12,Energy consumption per capita,GJ/person,259.02
AUS,2011-12,Energy intensity,GJ/$ million,3186.414
AUS,2011-12,Energy productivity,$ million/PJ,313.832
AUS,2011-12,GDP,$ million,1847979
AUS,2011-12,Population,Number,22733465
AUS,2012-13,Energy consumption,PJ,5916.732
AUS,2012-13,Energy consumption per capita,GJ/person,255.824
AUS,2012-13,Energy intensity,GJ/$ million,3120.407
AUS,2012-13,Energy productivity,$ million/PJ,320.471
AUS,2012-13,GDP,$ million,1896141
AUS,2012-13,Population,Number,23128129
AUS,2013-14,Energy consumption,PJ,5870.951
AUS,2013-14,Energy consumption per capita,GJ/person,250.086
AUS,2013-14,Energy intensity,GJ/$ million,3017.582
AUS,2013-14,Energy productivity,$ million/PJ,331.391
AUS,2013-14,GDP,$ million,1945581
AUS,2013-14,Population,Number,23475686
AUS,2014-15,Energy consumption,PJ,5898.418
AUS,2014-15,Energy consumption per capita,GJ/person,247.666
